,global_id,Наименование_поддержанной_компании,Отрасль,Подотрасль,Технология_(1_уровень),Технология_(2_уровень),Технология_(3_уровень),Сайт,Описание_компании
1659,1029602,"ООО ""ИНЗАРУС""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Беспроводная связь,Обработка и преобразование информации,Передача данных,"Решения для беспроводных сетей WAN (LTE, 5G) и LPWAN (NB-IoT, LTE-M, LoRaWan и другие)",Не указано,"ООО «Инзарус» было создано в 2018 году c целью коммерциализации инновационных разработок в области беспроводных технологий. Для достижения поставленной цели обществом был получен статус участника «Сколково».
Работа компании основывается на более чем 20-летнем опыте ключевых сотрудников в области разработки и создания нелинейных емкостных элементов. При этом основным направлением их предыдущей работы была разработка адаптивных согласующих цепей для согласования реактивных параметров резонансных к"
2119,1037705,"ООО ""ИНКОМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,Технологии организации и синхронизации данных,incom.tomsk.ru,"ООО «ИНКОМ» занимается научными исследованиями, проектированием, разработкой, производством и внедрением аппаратуры, программного обеспечения и программно-аппаратных комплексов для построения интегрированных информационно-телекоммуникационных систем сбора, обработки и анализа информации, оповещения, мониторинга и управления распределенными, труднодоступными и подвижными объектами.
Также ООО «ИНКОМ» занимается разработкой, поставкой и внедрением программных средств информационно-аналитических сис"
3171,1055221,"ООО ""ИНКОМ""",ЗДРАВООХРАНЕНИЕ,Производство биомедицинских клеточных продуктов,Синтез материальных объектов,Синтез живых организмов и систем,Биотехнология микроорганизмов,https://incom.tb.ru,"Компания ООО «ИнКом» была основана в 2007 году. За долгий период пройден большой путь от проектов в области разработок в сфере биотехнологий до вывода на европейский рынок средства медицинского назначения – Пластырь ранозаживляющий. 
В настоящий момент вместе с партнерам успешно завершены доклинические испытания. Начаты клинические испытания. Планируется подать заявку на сертификацию медицинского изделия в Notified body для получения СЕ в 2023 году.
В период с 2019 нами редется активная работа п"
3414,1059140,"ООО ""ИННОВА ПЛЮС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Сбор информации об объекте,Методы биоорганической химии,Полимеразная цепная реакция,https://innovaplus.ru,"ООО «Иннова плюс» – это инновационная биотехнологическая контрактная компания полного цикла. Основным направлением деятельности компании является разработка фармацевтических биопрепаратов, тест-систем и технологий с использованием последних достижений биологии и медицины."
164,810953,"ООО ""ИННОВА ПЛЮС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Синтез материальных объектов,Технологии воздействия на живые организмы,Биохимическое воздействие,http://innovaplus.ru/,"«Иннова плюс» - биотехнологическая компания полного цикла. Компания разрабатывает вакцины, сыворотки, генотерапевтические препараты, диагностические тест-системы, проводит доклинические исследования. Также «Иннова плюс» разрабатывает собственные продукты - ферменты, реагенты, диагностические и лечебные биопрепараты.Компания работает с технологиями создания штаммов-продуцентов и генетических конструкций, получения и оценки рекомбинантных белков, с методами ПЦР, ИФА, ИХА, LAMP, методом нанопоровог"
2385,1042209,"ООО ""ИННОВАПЛЮС""",ПРОМЫШЛЕННОСТЬ,Химическая промышленность,Синтез материальных объектов,Новые производственные процессы,Радиационная обработка материалов и изделий,Не указано,"Общество с ограниченной ответственностью «ИнноваПлюс» было учреждено 11.09.2012 г. Организация занимается научными исследованиями и разработками в области естественных и технических наук. Другие направления: деятельность в области связи на базе проводных технологий, разработка компьютерного программного обеспечения, консультационные услуги в данной области. В 2015-2018 гг. ООО «ИнноваПлюс» в рамках программы «СТАРТ» Фонда содействия инновациям выполнило НИОКР по разработке технологии изготовлени"
2864,1050183,"ООО ""ИННОВАПЛЮС""",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,Инженерно-техническое проектирование,Сбор информации об объекте,Физико-химические методы,Комплексные методы измерения,http://innovaplus76.ru,"Общество с ограниченной ответственностью «ИнноваПлюс» было учреждено 11.09.2012 г. Организация занимается научными исследованиями и разработками в области естественных и технических наук. Другие направления: деятельность в области связи на базе проводных технологий, разработка компьютерного программного обеспечения, консультационные услуги в данной области. В 2015-2018 гг. ООО «ИнноваПлюс» в рамках программы «СТАРТ» Фонда содействия инновациям выполнило НИОКР по разработке технологии изготовлени"
2809,1049272,"ООО ""ИНСАЙТ ГЛОБАЛ""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Обработка и преобразование информации,Обработка и хранение больших данных,Предсказательная аналитика,ems.insyte.cloud,"ООО «ИНСАЙТ Глобал» является разработчиком и интегратором программно-аппаратных решений в области энергосбережения и управления энергоресурсами.

Проекты компании – программно-аппаратная платформы в области энергетики, позволяющих собирать, анализировать потребление энергии и ее качество, вести управление активами в ручном режиме и по сценариям. 
Пользователю решений в онлайн-режиме предоставляются функции статистики, планирования, энергоанализа и «облачной» логики управления, способствующие общ"
151,810940,"ООО ""ИНСАЙТ ГЛОБАЛ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез материальных объектов,Инженерные комплексы,"Аппаратно-программные комплексы для интеллектуальных электрических сетей (smart grid, microgrid)",http://ems.insyte.cloud,"ООО «ИНСАЙТ Глобал» является разработчиком и интегратором программно-аппаратных решений в области энергосбережения и управления энергоресурсами.Проект компании – программно-аппаратная платформа и серия IoT-контроллеров, позволяющих собирать, анализировать потребление энергии и ее качество, вести управление в ручном режиме и по сценариям. Пользователю системы в онлайн-режиме предоставляются функции статистики, планирования, энергоанализа и «облачной» логики управления, способствующие общему сниже"
1957,1034970,"ООО ""ИНСПЕКТОР КЛАУД""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Компьютерное зрение и обработка изображений,http://www.inspector-cloud.ru,"Инспектор Клауд - компания-разработчик одноименной цифровой платформы для контроля торговых точек. Inspector Cloud использует фотографические данные, которые анализируются при помощи сверточных нейронных сетей, глубокого обучения, что позволяет идентифицировать на фото из торговых точек требуемый товар и посчитать его количество. Заказчиками компании являются розничные торговые сети и производители товаров повседневного спроса (FMCG)."
105,810891,"ООО ""ИНСПЕКТОР КЛАУД""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Технологии поиска и оптимизации,https://navigator.sk.ru/orn/1121768,"Работая вместе с 2014 года, Павел Бойко и Александр Беренов летом 2016 заметили, что современные технологии аудита недостаточно развиты на рынке ритейла. Там все еще повсеместно использовались блокноты и ручки, несмотря на развитие технологий, использующихся в других сферах бизнеса. Они решили, что необходимо использовать современные решения для более точного сбора и анализа данных. Для распознавания товаров во всех категориях в аудитах торговых точек необходимо использовать искуственный интелле"
1252,1023936,"ООО ""ИНСТАГАЙД""","СПОРТ, ТУРИЗМ И СФЕРА ОБСЛУЖИВАНИЯ",Туризм,Синтез информации,Искусственный интеллект,Технологии поиска и оптимизации,Не указано,"Область деятельности компании ООО «ИнстаГайд» – научные исследования и разработки, а именно на рынке туристических услуг.
Оказываемая услуга - предоставление доступа к программному комплексу в сфере туризма с использованием геоданных на условиях неисключительной лицензии (SaaS-модель).
Система представляет собой сервис моментального поиска и бронирования туристических услуг по требованию с автоматизированным отбором поставщиков на основе машинного обучения и сентимент-анализа социальных сетей."
1442,1026101,"ООО ""ИНСТАГАЙД""","СПОРТ, ТУРИЗМ И СФЕРА ОБСЛУЖИВАНИЯ",Туризм,Синтез информации,Искусственный интеллект,Технологии поиска и оптимизации,Не указано,"Область деятельности компании ООО «ИнстаГайд» – научные исследования и разработки, а именно на рынке туристических услуг.
Оказываемая услуга - предоставление доступа к программному комплексу в сфере туризма с использованием геоданных на условиях неисключительной лицензии (SaaS-модель).
Система представляет собой сервис моментального поиска и бронирования туристических услуг по требованию с автоматизированным отбором поставщиков на основе машинного обучения и сентимент-анализа социальных сетей."
3704,1063694,"ООО ""ИНТЕЛЛЕКТА""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Моделирование процессов реального мира (цифровые двойники),"Цифровое проектирование, математическое моделирование и управление жизненным циклом изделия или продукции (Smart Design)",Не указано,"Компания ООО «ИНТЕЛЛЕКТА» специализируется в разработке цифровых решений в области энергетики, разрабатывает мультифункциональные программные продукты, автоматизирующие сложные, нелинейные процессы. Ключевыми компетенциями команды являются цифровизация бизнес-процессов в энергетике и промышленный интернет вещей. Вместе с тем специалисты компании имеют обширный опыт в области разработки инструментов поддержки принятия решений в энергетике, оценки надежности и технического состояния энергетических"
3708,1063871,"ООО ""ИНТЕЛЛЕКТА""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Моделирование процессов реального мира (цифровые двойники),"Цифровое проектирование, математическое моделирование и управление жизненным циклом изделия или продукции (Smart Design)",Не указано,"Компания ООО «ИНТЕЛЛЕКТА» специализируется в разработке цифровых решений в области энергетики, разрабатывает мультифункциональные программные продукты, автоматизирующие сложные, нелинейные процессы. Ключевыми компетенциями команды являются цифровизация бизнес-процессов в энергетике и промышленный интернет вещей. Вместе с тем специалисты компании имеют обширный опыт в области разработки инструментов поддержки принятия решений в энергетике, оценки надежности и технического состояния энергетических"
3189,1055499,"ООО ""ИНТЕЛЛЕКТА""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Моделирование процессов реального мира (цифровые двойники),"Цифровое проектирование, математическое моделирование и управление жизненным циклом изделия или продукции (Smart Design)",Не указано,"Компания ООО «ИНТЕЛЛЕКТА» специализируется в разработке цифровых решений в области энергетики, разрабатывает мультифункциональные программные продукты, автоматизирующие сложные, нелинейные процессы. Ключевыми компетенциями команды являются цифровизация бизнес-процессов в энергетике и промышленный интернет вещей. Вместе с тем специалисты компании имеют обширный опыт в области разработки инструментов поддержки принятия решений в энергетике, оценки надежности и технического состояния энергетических"
1387,1025494,"ООО ""ИНФОКОМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Искусственный интеллект,Машинное обучение включая глубокое обучение и предиктивную аналитику,http://infokom76.ru/ ,"Научно-техническое направление деятельности предприятия: системы виртуальной и дополненной реальности, искусственный интеллект, робототехника. Виды выпускаемой продукции: 3D-тренажеры, системы компьютерного зрения."
3349,1057976,"ООО ""ИНФОКОМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Искусственный интеллект,Компьютерное зрение и обработка изображений,http://infokom76.ru/ ,"Научно-техническое направление деятельности предприятия: системы виртуальной и дополненной реальности, искусственный интеллект, робототехника. Виды выпускаемой продукции: 3D-тренажеры, системы компьютерного зрения."
2073,1036948,"ООО ""ИНФОМАТИКС""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Обработка и хранение больших данных,Предсказательная аналитика,www.innovacia.ru,"Область деятельности предприятия: исследования, разработки, производство, продажа и обслуживание программно-аппаратных решений для наземных транспортных средств.
Виды выпускаемой продукции и/или оказываемых услуг в настоящее время:
Производство и продажа мультимедийных комплексов для наземных транспортных средств;
Сервисное обслуживание мультимедийных комплексов для наземных транспортных средств;
Продажа лицензий на использование секретов производства (ноу-хау) и программного обеспечения (ПО)."
429,811244,"ООО ""ИНФОМАТИКС""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Обработка и хранение больших данных,Статистическая обработка данных,http://www.innovacia.ru,"ООО «Инфоматикс» является инновационным предприятием и имеет фундаментальный задел в разработке и внедрении мультимедийных решений. В настоящий момент компания является экспертом в сфере систем информирования пассажиров на транспорте в России. В компании сложилась команда менеджеров и инженеров с высоким уровнем отраслевой компетенции (Москва, Санкт-Петербург, Томск). Менеджмент компании обладает опытом управления инфраструктурными масштабируемыми проектами в телекоммуникационных, масс-медиа, ин"
3027,1052954,"ООО ""ИПК""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Передача данных,Технологии управления сетями связи и коммуникационными сервисами,https://www.rusprofile.ru/id/4412361,"Консультирование по вопросам коммерческой деятельности и управления, менеджмента в области радиотехнических систем. Научные исследования и разработки в области естественных и технических наук, проведение НИР, ОКР в области радиолокации, радионавигации, телекоммуникационных систем, разработка и производство радиоэлектроники и СВЧ техники для гражданского применения. Разработка компьютерного программного обеспечения. Деятельность консультативная и работы в области компьютерных технологий. Деятельн"
1644,1029342,"ООО ""ИПК""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Средства проектирования,Системы автоматизированного проектирования (CAD),http://ininco.ru/,"Предприятие ООО «ИПК» (Инновационная Промышленная Компания) производит оборудование (а также запасные части и комплектующие к нему) для бурения нефтегазовых разведочных и эксплуатационных скважин, КРС, ПНП, ГРП и добычи нефти:

Манифольды буровые, их узлы и элементы (манифольды вышек, манифольды эшелонов, манифольды нагнетательные, запорно-распределительные устройства (ЗРУ) для буровых насосов и пр.);
Манифольды ПВО: блоки глушения и блоки дросселирования (ГОСТ 13862-90) открытого типа и в утепл"
606,811438,"ООО ""ИПРО""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Передача данных,"Решения для беспроводных сетей WAN (LTE, 5G) и LPWAN (NB-IoT, LTE-M, LoRaWan и другие)",https://www.ipro-gsm.ru,"Компания «ИПРО» занимается производством и реализацией комплексных систем gSM сигнализации, дополнительного периферийного оборудования для систем безопасности, контрактное производство, а также поставка комплектующих и ремонт данного оборудования.Предприятие предлагает широкую линейку оборудования gSM-сигнализаций, радиореле и приборов для управления бытовыми электрическими и газовыми котлами. Для выполнения поставленных задач ООО «ИПРО» имеет передовую научно-техническую базу. Вся разработанная"
2007,1035827,"ООО ""ИПРО""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Синтез информации,Искусственный интеллект,Машинное обучение включая глубокое обучение и предиктивную аналитику,https://ipro-gsm.ru,Разработка и производство различных устройств автоматизации и управления.
1535,1027494,"ООО ""ИПРО""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления домом (BMS),https://ipro-gsm.ru,Разработка и производство различных систем управления и автоматизации.
1378,1025382,"ООО ""ИТ УЧЕТ""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Обработка и преобразование информации,Передача данных,Технологии оптимизации передачи данных,http://innovation-tech.ru/it-uchet,"Малое инновационное предприятие ООО ""ИТ Учет"" с 2012 года  занимается  разработкой и внедрением проектов в области учета, планирования на производстве, оптимизации бизнес-процессов, разработки программного обеспечения и конструкторской документации. Накоплен большой опыт наладки обрабатывающих центров с программным управлением. Специалисты работают на станках с ЧПУ."
1835,1032658,"ООО ""ИТ УЧЕТ""",ПРОМЫШЛЕННОСТЬ,"Металлургия, металлопродукция, производство готовых металлических изделий",Обработка и преобразование информации,Передача данных,Технологии оптимизации передачи данных,http://innovation-tech.ru/it-uchet,"Малое инновационное предприятие ООО ""ИТ Учет"" с 2012 года  занимается  разработкой и внедрением проектов в области учета, планирования на производстве, оптимизации бизнес-процессов, разработки программного обеспечения и конструкторской документации. Накоплен большой опыт наладки обрабатывающих центров с программным управлением. Специалисты работают на станках с ЧПУ."
3228,1056120,"ООО ""ИТ-ГУРУ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Искусственный интеллект,Машинное обучение включая глубокое обучение и предиктивную аналитику,https://datagu.ru,"ООО «ИТ-ГУРУ», созданное в 2016 году, стремительно развивающаяся компания в сфере информационных технологий. На сегодняшний день компания активно использует облачные технологии, куда выводятся многие бизнес-процессы. На базе технологической платформы мы предлагаем облачный сервис для обеспечения взаимодействия прикладных информационных систем с целью образования единой информационной среды.
В настоящее время компания плотно работает над комплексными системами обработки, интеграции и анализа данн"
1404,1025661,"ООО ""ИТ-ГУРУ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Обработка и преобразование информации,Обработка и хранение больших данных,Системы управления базами данных,ит-гуру.рф ,"ООО «ИТ-ГУРУ», созданное в 2016 году, стремительно развивающаяся компания в сфере информационных технологий. На сегодняшний день компания активно использует облачные технологии, куда выводятся многие бизнес-процессы. На базе технологической платформы мы предлагаем облачный сервис для обеспечения взаимодействия прикладных информационных систем с целью образования единой информационной среды.
В настоящее время компания плотно работает над комплексными системами обработки, интеграции и анализа данн"
908,835074,"ООО ""ИТС""",ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,Добыча металлических руд,Синтез материальных объектов,Технологии воздействия на живые организмы,"Электромагнитные, оптические и тепловые воздействия",-,"Высокотехнологическая инновационная компания занимающаяся системным внедрением использования технологии глубинных георадаров, с глубиной зондирования до 500 метров в увлажненных, глинистых и других сложных геологических средах."
1837,1032691,"ООО ""ИТС""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,smart-transport.ru,"ООО «Интеллектуальная транспортная система» осуществляет разработку ПО в сфере ГИС, высоконагруженных систем, мобильных приложений и AI. Наша компания занимается разработкой систем для государственных и корпоративных заказчиков. Автоматизируемые сферы: дорожно-транспортный комплекс задач и логистика и все что касается решений для умных городов. Осуществляем поддержку, внедрение собственного решения для организации РНИС (Региональная навигационная информационная система), РНИЦ — «Интеллектуальная"
190,810981,"ООО ""К-СКАЙ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Экспертные системы на базе искусственного интеллекта,https://webiomed.ai,"Компания «К-Скай» - разработчик платформы прогнозной аналитики и управления рисками Webiomed, первой в России системы искусственного интеллекта, зарегистрированной Росздравнадзором как программное медицинское изделие.Неинфекционные заболевания (НИЗ) являются основной причиной смертности во всех странах мира. Текущие потери экономики России от одних только сердечно-сосудистых заболеваний превышают 2,7 триллиона рублей в год. Основным способом сокращения заболеваемости и смертности от НИЗ является"
2974,1052103,"ООО ""К-СКАЙ""",ЗДРАВООХРАНЕНИЕ,Разработка ПО для использования в медицине,Обработка и преобразование информации,Обработка и хранение больших данных,Предсказательная аналитика,www.webiomed.ai,"Предприятие выполняет научные исследования и разработки в области естественных и технических наук.
Основная область деятельности – разработка программного обеспечения с применением методов искусственного интеллекта для автоматического анализа обезличенных медицинских данных и прогнозирования рисков развития заболеваний, поддержки принятия врачебных и управленческих решений.
Виды выпускаемой продукции и/или оказываемых услуг: 
?	Платформа предиктивной аналитики и управления рисками в здравоохране"
2366,1041898,"ООО ""КВАЗАР""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Синтез информации,Синтез контента,Синтез образовательного контента,Не указано,Компания разрабатывает мобильное приложение с внедрением  методов высокоэффективного запоминания (мнемотехника)  для подготовки школьников к ЕГЭ и студентов медицинского вуза.
384,811197,"ООО ""КВАЗАР""",ЗДРАВООХРАНЕНИЕ,Разработка ПО для использования в медицине,Синтез материальных объектов,Инженерные комплексы,"Системы медицинской диагностики, лечения и реабилитации, включая телемедицинские системы",https://www.kvzrm.ru,"ООО «КВАЗАР» – поставщик и разработчик комплексных инфраструктурных решений для предприятий, таких как:Электронная система медицинских осмотров; Системы контроля доступа, включая контроль прохождения инструктажей и контроль технического состояния транспортных средств; Информационные системы, обеспечивающие безопасность труда и производства. «КВАЗАР» применяет такие ключевые технологии, как реализацию в реальном времени автоматизированно-роботизированного скрининга здоровья человека в единой элек"
3613,1062241,"ООО ""КЛЕВЕР""","ТРАНСПОРТ, ХРАНЕНИЕ И ЛОГИСТИКА",Инфраструктура для воздушных перевозок,Синтез материальных объектов,Инженерные комплексы,Робототехнические решения,https://www.klever-tech.ru/,"Компания ООО «КЛЕВЕР» специализируется на проектировании, строительстве, внедрении, а также эксплуатации элементов интеллектуальных транспортных систем и реализации интеграционных ИТ и инфраструктурных проектов.
Специалисты организации выполняют полный комплекс работ: обследование объекта и проектирование, разработку инженерных, технических, технологических решений, строительные, монтажные и пуско-наладочные работы, поставку оборудования, разработку, поставку, внедрение и интеграцию программного"
1525,1027334,"ООО ""КЛЕВЕР""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Синтез информации,Формирование электромагнитных управляющих сигналов,Преобразователи сигнала для управления устройствами,http://klever-ltd.ru/,"Основными направлениями деятельности ООО «Клевер» являются:
исследования и экспериментальные разработки в области естественных и технических наук, кроме биотехнологических исследований и экспериментальных разработок: исследования и экспериментальные разработки в области естественных наук; исследования и экспериментальные разработки в области технических наук; исследования и экспериментальные разработки в области медицинских наук; исследования и экспериментальные разработки в области сельскохозяй"
469,811286,"ООО ""КЛЕВЕРЕНС СОФТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Обработка и преобразование информации,Обработка и хранение больших данных,Интерфейсы обмена большими данными,https://cleverence.ru,"«КЛЕВЕРЕНС СОФТ» основано в 2004 году. Компания ООО “Клеверенс Софт” - это российский разработчик мобильных систем учёта по штрихкодам и радиочастотным меткам. Уже 16 лет «КЛЕВЕРЕНС СОФТ» создает программы для решения бизнес задач в розничной и оптовой торговле, производственных организациях, нефтедобывающих компаниях, а также организациях государственного сектора. Проект компании - Mobile SMARTS 4.0.Позволяет быстро автоматизировать бизнес процессы по учету товаров. Соблюдать требования об обяз"
